Real Name;Screen Name
Justin Bieber ;justinbieber
Katy Perry ;katyperry
Lady Gaga ;ladygaga
Barack Obama ;BarackObama
Taylor Swift ;taylorswift13
YouTube ;YouTube
Britney Spears ;britneyspears
Rihanna ;rihanna
Justin Timberlake  ;jtimberlake
Instagram ;instagram
Twitter ;twitter
Jennifer Lopez ;JLo
Ellen DeGeneres ;TheEllenShow
Shakira ;shakira
Cristiano Ronaldo ;Cristiano
Oprah Winfrey ;Oprah
P!nk ;Pink
demetria lovato ;ddlovato
Kim Kardashian ;KimKardashian
Adele ;OfficialAdele
Bruno Mars ;BrunoMars
IG: @NickiMinaj ;NICKIMINAJ
Alicia Keys ;aliciakeys
Kaka ;KAKA
Harry Styles ;Harry_Styles
Selena Gomez ;selenagomez
Marshall Mathers ;Eminem
One Direction ;onedirection
ashton kutcher ;aplusk
Niall Horan ;NiallOfficial
Miley Ray Cyrus ;MileyCyrus
Pitbull ;Pitbull
Lil Wayne WEEZY F ;LilTunechi
Mariah Carey ;MariahCarey
Liam Payne ;Real_Liam_Payne
Louis Tomlinson ;Louis_Tomlinson
Avril Lavigne ;AvrilLavigne
Bill Gates ;BillGates
CNN Breaking News ;cnnbrk
Twitter en espa«Òol ;twitter_es
Chris Brown  ;chrisbrown
Beyonc«∏ Knowles ;Beyonce
Facebook ;facebook
Paris Hilton ;ParisHilton
Drizzy ;Drake
David Guetta ;davidguetta
Jim Carrey ;JimCarrey
Ryan Seacrest ;RyanSeacrest
Wiz Khalifa ;wizkhalifa
Snoop Dogg ;SnoopDogg
UberSocial  ;UberSoc
Ashley Tisdale ;ashleytisdale
zaynmalik1D ;zaynmalik
Coldplay ;coldplay
Tyra Banks ;tyrabanks
Emma Watson ;EmWatson
CNN ;CNN
jimmy fallon ;jimmyfallon
Ariana Grande ;ArianaGrande
will.i.am ;iamwill
Alejandro Sanz ;AlejandroSanz
FC Barcelona ;FCBarcelona
Charlie Sheen ;charliesheen
LeBron James ;KingJames
KANYE WEST ;kanyewest
Christina Aguilera ;xtina
MTV ;MTV
The New York Times ;nytimes
Kourtney Kardashian ;KourtneyKardash
Ricky Martin ;ricky_martin
Diddy ;iamdiddy
Conan O'Brien ;ConanOBrien
TwitPic ;TwitPic
Carly Rae Jepsen ;carlyraejepsen
AGNEZ MO ;agnezmo
daniel tosh ;danieltosh
Kevin Hart ;KevinHart4real
Ivete Sangalo ;ivetesangalo
Real Madrid C. F. ;realmadrid
Paulo Coelho ;paulocoelho
Neymar J«ßnior ;Njr92
Kelly Clarkson ;kelly_clarkson
Usher Raymond IV ;Usher
Simon Cowell ;SimonCowell
JUANES ;juanes
Khlo«∏  ;KhloeKardashian
Ludacris ;Ludacris
NBA ;NBA
Ed Sheeran ;edsheeran
Programa P«Ωnico ;programapanico
Leonardo DiCaprio ;LeoDiCaprio
Paulina Rubio ;paurubio
Dalai Lama ;DalaiLama
SHAQ ;SHAQ
Ronaldinho Ga«ßcho ;10Ronaldinho
BBC Breaking News ;BBCBreaking
Nick Jonas  ;nickjonas
50cent ;50cent
Wayne Rooney ;WayneRooney
Claudia Leitte ;ClaudiaLeitte
